Brand,Model_Name,Processor_name,ram,Processor_generation,OS,storage,rating,price,screen_size(inch)
acer,acerPredatorHelios300Corei5,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)Dual Fan Cooling with Metal AeroBlade 3D128 GB SSD for Reduced Boot Up Time and in Game LoadingUpgradable SSD Upto 512 GB and RAM Upto 32 GBNVIDIA Geforce GTX 1050Ti for Desktop Level PerformanceIntel Core i5 ",8 GB DDR4 ,7th Gen,64 bit Windows 10 ,1 TB HDD|128 GB SSD39.62 ,4.5,"₹1,29,999", 15.6 
ASUS,ASUSROGZephyrusG14Ryzen7,AMD Ryzen 7 Octa Core ,8 GB DDR4 ,4th Gen,64 bit Windows 10 ,1 TB SSD35.56 ,4.4,"₹76,990", 14 
ASUS,ASUSVivobook15Corei311th,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 10 ,512 GB SSD39.62 ,4.2,"₹36,990", 15.6 
MSI,MSIPulseGL66Corei711th,Pre-installed Genuine Windows 10 Home OSIntel Core i7 ,16 GB DDR4 ,11th Gen,64 bit Windows 10 ,512 GB SSD39.62 ,4.6,"₹1,07,790", 15.6 
DELL,DELLInspironCorei511thGen,Intel Core i5 ,16 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD35.56 ,4.2,"₹75,990", 14 
ASUS,ASUSZenBookDuo14(2021)Touch,Intel Core i5 ,16 GB LPDDR4X ,11th Gen,64 bit Windows 10 ,512 GB SSD35.56 ,4.5,"₹95,990", 14 
acer,aceraspire5gamingCorei5,Intel Core i5 ,8 GB DDR4 ,12th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,3.7,"₹61,999", 15.6 
HP,HPCeleronDualCore-(8,Intel Celeron Dual Core ,8 GB DDR4 ,,64 bit Windows 11 ,256 GB SSD35.56 ,4.4,"₹28,990", 14 
Lenovo,LenovoIdeaPadGaming3Corei5,Intel Core i5 ,8 GB DDR4 ,10th Gen,64 bit Windows 10 ,512 GB SSD39.62 ,4.3,"₹54,990", 15.6 
ASUS,ASUSCorei711thGen-,Intel Core i7 ,16 GB DDR4 ,11th Gen,Windows 11 ,512 GB SSD39.62 ,3.9,"₹56,990", 15.6 
ASUS,ASUSCorei511thGen-,Intel Core i5 ,8 GB DDR4 ,11th Gen,Windows 11 ,256 GB SSD35.56 ,5.0,"₹45,990", 14 
ASUS,ASUSVivobook14Corei311th,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD35.81 ,4.3,"₹38,216", 14.1 
MSI,MSIKatanaGF66Corei712th,Intel Core i7 ,8 GB DDR4 ,12th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.1,"₹79,990", 15.6 
DELL,DELLInspiron3501Corei311th,Intel Core i3 ,4 GB DDR4 ,11th Gen,Windows 10 ,1 TB HDD|256 GB SSD39.62 ,4.6,"₹43,990", 15.6 
HP,HPVictusRyzen7OctaCore,AMD Ryzen 7 Octa Core ,16 GB DDR4 ,,64 bit Windows 11 ,1 TB SSD40.89 ,4.7,"₹1,08,250", 16.1 
ASUS,ASUSVivoBook15Corei310th,Intel Core i3 ,4 GB DDR4 ,10th Gen,64 bit Windows 10 ,1 TB HDD39.62 ,3.7,"₹28,990", 15.6 
MSI,MSICorei912thGen-,Intel Core i9 ,32 GB DDR5 ,12th Gen,64 bit Windows 11 ,2 TB SSD43.94 ,4.2,"₹3,89,990", 17.3  
DELL,DELLInspironCorei511thGen,Intel Core i5 ,16 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,3.7,"₹67,224", 15.6 
acer,acerNitro5Ryzen7Octa,AMD Ryzen 7 Octa Core ,16 GB DDR4 ,,64 bit Windows 10 ,1 TB HDD|256 GB SSD39.62 ,4.4,"₹1,14,990", 15.6 
